,id_leaf,local_display_name_leaf,id_child,local_display_name_child,id,local_display_name
0,603391,Event Souvenirs,603014,Sports & Outdoor,,
1,604459,Furniture Accessories,604453,Furniture,,
2,600009,Festive Decorations,852488,Festive & Party Supplies,600001,Home Supplies
3,600017,Balloons,852488,Festive & Party Supplies,600001,Home Supplies
4,600019,Spray/Snow Spray,852488,Festive & Party Supplies,600001,Home Supplies
5,600029,Preserving Containers,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
6,600032,Vacuum Flasks,859400,Drinkware,600024,Kitchenware
7,600033,Placemats & Coasters	,859272,Cutlery & Tableware,600024,Kitchenware
8,600036,Glasses	,859400,Drinkware,600024,Kitchenware
9,600042,Mugs,859400,Drinkware,600024,Kitchenware
10,600047,Drinkware Accessories,859400,Drinkware,600024,Kitchenware
11,600048,Water Bottles	,859400,Drinkware,600024,Kitchenware
12,600059,Lunch Boxes	,859272,Cutlery & Tableware,600024,Kitchenware
13,600060,Fruit & Vegetable Utensils,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
14,600063,Chopsticks,859272,Cutlery & Tableware,600024,Kitchenware
15,600064,Plates,859272,Cutlery & Tableware,600024,Kitchenware
16,600069,Bowls,859272,Cutlery & Tableware,600024,Kitchenware
17,600070,Forks,859272,Cutlery & Tableware,600024,Kitchenware
18,600071,Tableware Sets,859272,Cutlery & Tableware,600024,Kitchenware
19,600072,Knives,859272,Cutlery & Tableware,600024,Kitchenware
20,600073,Spoons,859272,Cutlery & Tableware,600024,Kitchenware
21,600075,Bar Utensils,858888,Bar & Wine Utensils,600024,Kitchenware
22,600080,Wine Racks,858888,Bar & Wine Utensils,600024,Kitchenware
23,600081,Bar Sets,858888,Bar & Wine Utensils,600024,Kitchenware
24,600095,Cups & Saucers	,859400,Drinkware,600024,Kitchenware
25,600096,Coffee Pots,858504,Tea & Coffeeware,600024,Kitchenware
26,600100,Coffee Sets,858504,Tea & Coffeeware,600024,Kitchenware
27,600102,Milk Jugs,858504,Tea & Coffeeware,600024,Kitchenware
28,600103,Coffee-Making Tools	,858504,Tea & Coffeeware,600024,Kitchenware
29,600119,Baking Tins & Moulds,859016,Bakeware,600024,Kitchenware
30,600121,Measuring Utensils,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
31,600127,Kitchen Timers,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
32,600132,Meat & Poultry Utensils,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
33,600135,Sieves and Colanders,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
34,600139,Other,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
35,600145,Kitchen Knives,858632,Kitchen Knives,600024,Kitchenware
36,600146,Pots,859144,Cookware,600024,Kitchenware
37,600148,Cooking Utensils,859528,Kitchen Utensils & Gadgets,600024,Kitchenware
38,600151,Chopping Boards,858632,Kitchen Knives,600024,Kitchenware
39,600152,Baking Utensils,859016,Bakeware,600024,Kitchenware
40,600157,Blankets & Throws,808328,Bedding,600154,Textiles & Soft Furnishings
41,600165,Sheets & Pillowcases,808328,Bedding,600154,Textiles & Soft Furnishings
42,600203,Chair Covers,809992,Household Textiles,600154,Textiles & Soft Furnishings
43,600204,Tablecloths & Runners	,809992,Household Textiles,600154,Textiles & Soft Furnishings
44,600221,"Carpets, Mats & Rugs	",809992,Household Textiles,600154,Textiles & Soft Furnishings
45,600251,Sewing Fabric Kits	,811016,Fabrics & Sewing Supplies,600154,Textiles & Soft Furnishings
46,600252,Sewing Tool Kits	,811016,Fabrics & Sewing Supplies,600154,Textiles & Soft Furnishings
47,600299,Statues & Figurines,852104,Home Decor,600001,Home Supplies
48,600321,Clocks,852104,Home Decor,600001,Home Supplies
49,600338,Wall Stickers,852104,Home Decor,600001,Home Supplies
50,600341,Photo Frames,852104,Home Decor,600001,Home Supplies
51,600347,Hooks & Shelves,852104,Home Decor,600001,Home Supplies
52,600378,Dusters/Duster Heads,852232,Household Cleaning,600001,Home Supplies
53,600396,Cleaning Gloves,852232,Household Cleaning,600001,Home Supplies
54,600401,Trash Bags,852232,Household Cleaning,600001,Home Supplies
55,600403,Bins,852232,Household Cleaning,600001,Home Supplies
56,600405,Toilet Brushes,851976,Bathroom Supplies,600001,Home Supplies
57,600406,Toilet Seat Covers,851976,Bathroom Supplies,600001,Home Supplies
58,600409,Cleaning Cloths,852232,Household Cleaning,600001,Home Supplies
59,600416,Soap Dispensers,851976,Bathroom Supplies,600001,Home Supplies
60,600417,Brooms ,852232,Household Cleaning,600001,Home Supplies
61,600418,Cleaning Brushes,852232,Household Cleaning,600001,Home Supplies
62,600423,Mops,852232,Household Cleaning,600001,Home Supplies
63,600427,Aprons,852232,Household Cleaning,600001,Home Supplies
64,600430,Bathroom Tumblers,851976,Bathroom Supplies,600001,Home Supplies
65,600436,Toothbrush Holders,851976,Bathroom Supplies,600001,Home Supplies
66,600439,Shower Curtains,851976,Bathroom Supplies,600001,Home Supplies
67,600447,Soap Dishes,851976,Bathroom Supplies,600001,Home Supplies
68,600451,Foot Basins/Foot Tubs,851976,Bathroom Supplies,600001,Home Supplies
69,600466,Pest & Weed Control,852232,Household Cleaning,600001,Home Supplies
70,600475,Formaldehyde Removers,852232,Household Cleaning,600001,Home Supplies
71,600477,Home Fragrance,852232,Household Cleaning,600001,Home Supplies
72,600569,Rain Cloths,852616,Miscellaneous Home,600001,Home Supplies
73,600570,Umbrellas,852616,Miscellaneous Home,600001,Home Supplies
74,600573,Raincoats,852616,Miscellaneous Home,600001,Home Supplies
75,600574,Rain Shoes,852616,Miscellaneous Home,600001,Home Supplies
76,600621,Storage Boxes & Bins,851848,Home Organizers,600001,Home Supplies
77,600686,Storage Baskets,851848,Home Organizers,600001,Home Supplies
78,600747,Washing Bags,852360,Laundry Products,600001,Home Supplies
79,600748,Hangers & Pegs,851848,Home Organizers,600001,Home Supplies
80,600750,Washing Lines,852360,Laundry Products,600001,Home Supplies
81,600756,Ironing Boards,852360,Laundry Products,600001,Home Supplies
82,600758,Drying Racks,852360,Laundry Products,600001,Home Supplies
83,600812,Household Cleaning Products,852232,Household Cleaning,600001,Home Supplies
84,600839,Toilet Paper & Kitchen Roll,852232,Household Cleaning,600001,Home Supplies
85,600852,Television,845064,Large Home Appliances,600942,Household Appliances
86,601090,Air Purifiers,844808,Home Appliances,600942,Household Appliances
87,601092,Humidifiers,844808,Home Appliances,600942,Household Appliances
88,601095,Heaters,844808,Home Appliances,600942,Household Appliances
89,601100,Irons,844808,Home Appliances,600942,Household Appliances
90,601102,Vacuum Cleaners,844808,Home Appliances,600942,Household Appliances
91,601104,Fans,844808,Home Appliances,600942,Household Appliances
92,601106,Household Appliance Parts,844808,Home Appliances,600942,Household Appliances
93,601107,Clothes Steamers	,844808,Home Appliances,600942,Household Appliances
94,601108,Dehumidifiers,844808,Home Appliances,600942,Household Appliances
95,601116,Electric Window Cleaners	,844808,Home Appliances,600942,Household Appliances
96,601194,Waistcoats & Gilets,839944,Men's Tops,824328,Menswear & Underwear
97,601195,Shirts,839944,Men's Tops,824328,Menswear & Underwear
98,601196,Shorts,840072,Men's Bottoms,824328,Menswear & Underwear
99,601197,Jackets & Coats,839944,Men's Tops,824328,Menswear & Underwear
100,601202,Jeans,840072,Men's Bottoms,824328,Menswear & Underwear
101,601210,Sets,840712,Men's Suits & Overalls,824328,Menswear & Underwear
102,601213,Hoodies & Jumpers,839944,Men's Tops,824328,Menswear & Underwear
103,601216,Suits,840712,Men's Suits & Overalls,824328,Menswear & Underwear
104,601218,Trousers,840072,Men's Bottoms,824328,Menswear & Underwear
105,601223,Knitwear,839944,Men's Tops,824328,Menswear & Underwear
106,601226,Tops & T-shirts,839944,Men's Tops,824328,Menswear & Underwear
107,601247,Knickers,842888,Women's Underwear,601152,Womenswear & Underwear
108,601259,Shapewear,842888,Women's Underwear,601152,Womenswear & Underwear
109,601262,Bras,842888,Women's Underwear,601152,Womenswear & Underwear
110,601264,Skirts,842376,Women's Bottoms,601152,Womenswear & Underwear
111,601265,Blouses & Shirts,842248,Women's Tops,601152,Womenswear & Underwear
112,601266,Shorts,842376,Women's Bottoms,601152,Womenswear & Underwear
113,601267,Jackets & Coats,842248,Women's Tops,601152,Womenswear & Underwear
114,601270,Wedding Dresses,842504,Women's Dresses,601152,Womenswear & Underwear
115,601271,Formal Dresses,842504,Women's Dresses,601152,Womenswear & Underwear
116,601274,Leggings,842376,Women's Bottoms,601152,Womenswear & Underwear
117,601276,Jeans,842376,Women's Bottoms,601152,Womenswear & Underwear
118,601277,Trousers,842376,Women's Bottoms,601152,Womenswear & Underwear
119,601280,Overalls,842760,Women's Suits & Overalls,601152,Womenswear & Underwear
120,601281,Casual Dresses,842504,Women's Dresses,601152,Womenswear & Underwear
121,601282,Vests,842248,Women's Tops,601152,Womenswear & Underwear
122,601284,Knitwear,842248,Women's Tops,601152,Womenswear & Underwear
123,601291,Sets,842760,Women's Suits & Overalls,601152,Womenswear & Underwear
124,601295,Hoodies & Jumpers,842248,Women's Tops,601152,Womenswear & Underwear
125,601296,Suits,842760,Women's Suits & Overalls,601152,Womenswear & Underwear
126,601302,Tops & T-shirts,842248,Women's Tops,601152,Womenswear & Underwear
127,601357, Trainers,900616,Men's Shoes,601352,Shoes
128,601364, Sandals & Flip Flops,900616,Men's Shoes,601352,Shoes
129,601366, Insoles & Heel Liners,900744,Shoe Accessories,601352,Shoes
130,601369, Oxford,900616,Men's Shoes,601352,Shoes
131,601374,Slippers,900616,Men's Shoes,601352,Shoes
132,601376, Boots,900616,Men's Shoes,601352,Shoes
133,601387, Oxfords,900488,Women's Shoes,601352,Shoes
134,601396, Heels,900488,Women's Shoes,601352,Shoes
135,601405, Slippers,900488,Women's Shoes,601352,Shoes
136,601409,Boots,900488,Women's Shoes,601352,Shoes
137,601417, Laptop Bags,902792,Functional Bags,824584,Luggage & Bags
138,601419,Travel Bags,902664,Luggage & Travel Bags,824584,Luggage & Bags
139,601429, Crossbody & Shoulder Bags,902536,Men's Bags,824584,Luggage & Bags
140,601430, Wallets,902536,Men's Bags,824584,Luggage & Bags
141,601431, Clutches,902536,Men's Bags,824584,Luggage & Bags
142,601432, Backpacks,902536,Men's Bags,824584,Luggage & Bags
143,601439, Crossbody & Shoulder Bags,902408,Women's Bags,824584,Luggage & Bags
144,601440,Make-up Bags,902792,Functional Bags,824584,Luggage & Bags
145,601441,Wallets,902408,Women's Bags,824584,Luggage & Bags
146,601444, Clutches & Wristlets ,902408,Women's Bags,824584,Luggage & Bags
147,601445,Handbags,902408,Women's Bags,824584,Luggage & Bags
148,601446,Backpacks,902408,Women's Bags,824584,Luggage & Bags
149,601449, Luggage Accessories,902664,Luggage & Travel Bags,824584,Luggage & Bags
150,601454,Hand & Foot Masks	,849032,"Hand, Foot & Nail Care",601450,Beauty & Personal Care
151,601456,Foot Odour Control	,849032,"Hand, Foot & Nail Care",601450,Beauty & Personal Care
152,601469,Shampoo & Conditioner	,848904,Hair Care & Styling,601450,Beauty & Personal Care
153,601476,Feminine Hygiene	,849800,Feminine Care ,601450,Beauty & Personal Care
154,601477,Sanitary Towels	,849800,Feminine Care ,601450,Beauty & Personal Care
155,601480,"Hand Lotions, Creams & Scrubs	",849032,"Hand, Foot & Nail Care",601450,Beauty & Personal Care
156,601490,Body Care Kits,849160,Bath & Body Care,601450,Beauty & Personal Care
157,601492,Body Creams & Lotions	,849160,Bath & Body Care,601450,Beauty & Personal Care
158,601493,Body Wash & Soap,849160,Bath & Body Care,601450,Beauty & Personal Care
159,601494,Talcum Powder,849160,Bath & Body Care,601450,Beauty & Personal Care
160,601495,Hair Removal Cream & Wax	,849160,Bath & Body Care,601450,Beauty & Personal Care
161,601498,Deodorants	,849160,Bath & Body Care,601450,Beauty & Personal Care
162,601506,Body Scrubs & Peels	,849160,Bath & Body Care,601450,Beauty & Personal Care
163,601508,Hand Wash	,849032,"Hand, Foot & Nail Care",601450,Beauty & Personal Care
164,601511,Breast Care ,849160,Bath & Body Care,601450,Beauty & Personal Care
165,601513,Mousse & Gel,848904,Hair Care & Styling,601450,Beauty & Personal Care
166,601516,Hair Dye	,848904,Hair Care & Styling,601450,Beauty & Personal Care
167,601520,Bath & Body Care	,849288,Men's Care,601450,Beauty & Personal Care
168,601529,Makeup Sets	,848648,Makeup & Perfume,601450,Beauty & Personal Care
169,601534,Lipstick & Lip Gloss	,848648,Makeup & Perfume,601450,Beauty & Personal Care
170,601537,Makeup Tools	,848648,Makeup & Perfume,601450,Beauty & Personal Care
171,601550,Blemish Balm and Colour Control	,848648,Makeup & Perfume,601450,Beauty & Personal Care
172,601552,Makeup Fixer Spray,848648,Makeup & Perfume,601450,Beauty & Personal Care
173,601554,Concealer & Foundation	,848648,Makeup & Perfume,601450,Beauty & Personal Care
174,601555,Bronzer & Highlighter	,848648,Makeup & Perfume,601450,Beauty & Personal Care
175,601556,Makeup Base and Primers	,848648,Makeup & Perfume,601450,Beauty & Personal Care
176,601558,Powder	,848648,Makeup & Perfume,601450,Beauty & Personal Care
177,601560,Blusher	,848648,Makeup & Perfume,601450,Beauty & Personal Care
178,601565,Makeup,849288,Men's Care,601450,Beauty & Personal Care
179,601582,Body Makeup,848648,Makeup & Perfume,601450,Beauty & Personal Care
180,601583,Perfume	,848648,Makeup & Perfume,601450,Beauty & Personal Care
181,601585,Mascara,848648,Makeup & Perfume,601450,Beauty & Personal Care
182,601586,Eyebrow Pencils/Powder/Paste,848648,Makeup & Perfume,601450,Beauty & Personal Care
183,601587,Eyeliner & Lipliner	,848648,Makeup & Perfume,601450,Beauty & Personal Care
184,601588,Eyeshadow,848648,Makeup & Perfume,601450,Beauty & Personal Care
185,601595,Lip Treatments	,848776,Skincare,601450,Beauty & Personal Care
186,601602,Facial Sunscreen & Sun Care	,848776,Skincare,601450,Beauty & Personal Care
187,601608,Toners	,848776,Skincare,601450,Beauty & Personal Care
188,601609,Facial Cleansers	,848776,Skincare,601450,Beauty & Personal Care
189,601610,Facial Massage Cream,848776,Skincare,601450,Beauty & Personal Care
190,601611,Skin Care Kits,848776,Skincare,601450,Beauty & Personal Care
191,601613,Face Scrubs & Peels	,848776,Skincare,601450,Beauty & Personal Care
192,601615,Moisturisers & Mists	,848776,Skincare,601450,Beauty & Personal Care
193,601616,Face Masks	,848776,Skincare,601450,Beauty & Personal Care
194,601618,Makeup Remover	,848648,Makeup & Perfume,601450,Beauty & Personal Care
195,601619,Serums & Essences	,848776,Skincare,601450,Beauty & Personal Care
196,601627,Skincare	,849288,Men's Care,601450,Beauty & Personal Care
197,601644,Shaving Foam & Aftershave	,849288,Men's Care,601450,Beauty & Personal Care
198,601646,Eye Treatments	,848776,Skincare,601450,Beauty & Personal Care
199,601653,Nasal Treatment,848776,Skincare,601450,Beauty & Personal Care
200,601660,Massage Devices	,849416,Personal Care Appliances,601450,Beauty & Personal Care
201,601664,Body Beauty Devices	,849416,Personal Care Appliances,601450,Beauty & Personal Care
202,601669,Electric Eyebrow Shapers,849416,Personal Care Appliances,601450,Beauty & Personal Care
203,601672,Facial Beauty Devices	,849416,Personal Care Appliances,601450,Beauty & Personal Care
204,601677,Accessories	,849416,Personal Care Appliances,601450,Beauty & Personal Care
205,601681,Hair Care	,849288,Men's Care,601450,Beauty & Personal Care
206,601686,Body Shaping Products,849160,Bath & Body Care,601450,Beauty & Personal Care
207,601690,Teeth Whitening	,849672,Nasal & Oral Care,601450,Beauty & Personal Care
208,601692,Oral Care Kits,849672,Nasal & Oral Care,601450,Beauty & Personal Care
